Novi di Modena comune,Novi di Modena comune.1
,
Novi di Modena – Veduta,Novi di Modena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Enrico Diacci (Lista civica trasversale) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,44°53′36.1″N 10°54′03.64″E
Altitudine,21 m s.l.m.
Superficie,"51,82 km²"
Abitanti,10 404[1] (30-11-2025)
Densità,"200,77 ab./km²"
Frazioni,"Rovereto sulla Secchia, Sant'Antonio in Mercadello[2]"
Comuni confinanti,"Carpi, Cavezzo, Concordia sulla Secchia, Moglia (MN), Rolo (RE), San Possidonio"
Altre informazioni,Altre informazioni
Cod. postale,41016
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036028
Cod. catastale,F966
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 197 GG[4]"
Nome abitanti,novesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Novi di Modena,Novi di Modena
Novi di Modena – MappaPosizione del comune di Novi di Modena all'interno della provincia di Modena,Novi di Modena – MappaPosizione del comune di Novi di Modena all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
