Castelnuovo Rangone comune,Castelnuovo Rangone comune.1
,
Castelnuovo Rangone – Veduta,Castelnuovo Rangone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Massimo Paradisi (centro-sinistra) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,44°33′07″N 10°56′09″E
Altitudine,76 m s.l.m.
Superficie,"22,44 km²"
Abitanti,15 101[1] (30-11-2025)
Densità,"672,95 ab./km²"
Frazioni,"Balugola, Cavidole, Montale Rangone, San Lorenzo, Settecani e varie località: Ca' Bergomi, Gualinga, Castello, Oratorio di Sant'Anna, Santa Lucia."
Comuni confinanti,"Castelvetro di Modena, Formigine, Modena, Spilamberto"
Altre informazioni,Altre informazioni
Cod. postale,41051
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036007
Cod. catastale,C242
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 317 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Celestino
Giorno festivo,6 aprile
Cartografia,Cartografia
Castelnuovo Rangone,Castelnuovo Rangone
Castelnuovo Rangone – MappaPosizione del comune di Castelnuovo Rangone all'interno della provincia di Modena,Castelnuovo Rangone – MappaPosizione del comune di Castelnuovo Rangone all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
