Montefiorino comune,Montefiorino comune.1
,
Montefiorino – Veduta,Montefiorino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Maurizio Paladini (lista civica Civiltà montanara) dal 5-6-2016
Territorio,Territorio
Coordinate,44°21′N 10°37′E
Altitudine,797 m s.l.m.
Superficie,"45,28 km²"
Abitanti,2 125[1] (30-11-2025)
Densità,"46,93 ab./km²"
Frazioni,"Casola, Farneta, Gusciola, La Verna, Lago, Macognano, Rubbiano, Vitriola[2]"
Comuni confinanti,"Frassinoro, Palagano, Toano (RE), Villa Minozzo (RE)"
Altre informazioni,Altre informazioni
Cod. postale,41045
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036025
Cod. catastale,F503
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 323 GG[4]"
Nome abitanti,Montefiorinesi
Patrono,B. V. Maria di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Montefiorino,Montefiorino
Montefiorino – MappaPosizione del comune di Montefiorino all'interno della provincia di Modena,Montefiorino – MappaPosizione del comune di Montefiorino all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
