San Possidonio comune,San Possidonio comune.1
,
San Possidonio – VedutaIl campanile di San Possidonio,San Possidonio – VedutaIl campanile di San Possidonio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Veronica Morselli (lista civica San Possidonio Futura) dal 9-6-2024
Territorio,Territorio
Coordinate,44°53′30″N 10°59′47″E
Altitudine,20 m s.l.m.
Superficie,"17,06 km²"
Abitanti,3 574[1] (30-11-2025)
Densità,"209,5 ab./km²"
Frazioni,"Bellaria, Forcello, Pioppa, Ponte Rovere"
Comuni confinanti,"Cavezzo, Concordia sulla Secchia, Mirandola, Novi di Modena"
Altre informazioni,Altre informazioni
Cod. postale,41039
Prefisso,0535
Fuso orario,UTC+1
Codice ISTAT,036038
Cod. catastale,I128
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 196 GG[3]"
Nome abitanti,possidiesi
Patrono,san Possidonio
Giorno festivo,16 maggio
Cartografia,Cartografia
San Possidonio,San Possidonio
San Possidonio – MappaPosizione del comune di San Possidonio all'interno della provincia di Modena,San Possidonio – MappaPosizione del comune di San Possidonio all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
