Finale Emilia comune,Finale Emilia comune.1
,
Finale Emilia – VedutaIl palazzo municipale fotografato da Paolo Monti nel 1976,Finale Emilia – VedutaIl palazzo municipale fotografato da Paolo Monti nel 1976
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Marco Poletti (PD) dal 18-10-2021
Territorio,Territorio
Coordinate,44°49′54.66″N 11°17′44.66″E
Altitudine,15 m s.l.m.
Superficie,"105,13 km²"
Abitanti,15 545[1] (30-11-2025)
Densità,"147,86 ab./km²"
Frazioni,"Canaletto, Casoni di sopra, Casoni di Sotto, Casumaro, Massa Finalese, Reno Finalese, Salde Entrà"
Comuni confinanti,"Bondeno (FE), Camposanto, Cento (FE), Crevalcore (BO), Mirandola, San Felice sul Panaro"
Altre informazioni,Altre informazioni
Cod. postale,41034; 41035 (Massa Finalese)
Prefisso,0535
Fuso orario,UTC+1
Codice ISTAT,036012
Cod. catastale,D599
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 189 GG[3]"
Nome abitanti,finalesi
Patrono,Beata Vergine delle Grazie
Giorno festivo,8 settembre [4]
Cartografia,Cartografia
Finale Emilia,Finale Emilia
Finale Emilia – MappaPosizione del comune di Finale Emilia all'interno della provincia di Modena,Finale Emilia – MappaPosizione del comune di Finale Emilia all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
