Palagano comune,Palagano comune.1
,
Palagano – Veduta,Palagano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Fabio Braglia (lista civica) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,44°19′18″N 10°38′49″E
Altitudine,723 m s.l.m.
Superficie,"60,41 km²"
Abitanti,2 032[1] (30-11-2025)
Densità,"33,64 ab./km²"
Frazioni,"Boccassuolo, Costrignano, Monchio, Savoniero, Susano, Lama di Monchio"
Comuni confinanti,"Frassinoro, Lama Mocogno, Montefiorino, Polinago, Prignano sulla Secchia, Riolunato, Toano (RE)"
Altre informazioni,Altre informazioni
Cod. postale,41046
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036029
Cod. catastale,G250
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 186 GG[3]"
Nome abitanti,palaganesi
Patrono,san Giovanni
Giorno festivo,27 dicembre
Cartografia,Cartografia
Palagano,Palagano
Palagano – MappaPosizione del comune di Palagano all'interno della provincia di Modena,Palagano – MappaPosizione del comune di Palagano all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
