Pavullo nel Frignano comune,Pavullo nel Frignano comune.1
,
Pavullo nel Frignano – VedutaIl castello ubicato nella frazione Montecuccolo.,Pavullo nel Frignano – VedutaIl castello ubicato nella frazione Montecuccolo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Davide Venturelli (lista civica Insieme per Pavullo) dal 18-10-2021
Territorio,Territorio
Coordinate,44°19′57.72″N 10°49′59.22″E
Altitudine,682 m s.l.m.
Superficie,"143,73 km²"
Abitanti,18 414[1] (30-11-2025)
Densità,"128,12 ab./km²"
Frazioni,"Benedello, Camatta, Castagneto, Coscogno, Crocette, Frassineti, Gaiato, Iddiano, Miceno, Montebonello, Montecuccolo, Monteobizzo, Montorso, Monzone, Niviano, Olina, Querciagrossa, Renno, Sant'Antonio, Sassoguidano, Verica, La Pozzaccia"
Comuni confinanti,"Guiglia, Lama Mocogno, Marano sul Panaro, Montecreto, Montese, Polinago, Serramazzoni, Sestola, Zocca"
Altre informazioni,Altre informazioni
Cod. postale,41026
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036030
Cod. catastale,G393
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 348 GG[3]"
Nome abitanti,pavullesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Pavullo nel Frignano,Pavullo nel Frignano
Pavullo nel Frignano – MappaPosizione del comune di Pavullo nel Frignano all'interno della provincia di Modena,Pavullo nel Frignano – MappaPosizione del comune di Pavullo nel Frignano all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
