Marano sul Panaro comune,Marano sul Panaro comune.1
,
Marano sul Panaro – Veduta,Marano sul Panaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Giovanni Galli (centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°27′26″N 10°58′19″E
Altitudine,142 m s.l.m.
Superficie,"45,47 km²"
Abitanti,5 319[1] (30-11-2025)
Densità,"116,98 ab./km²"
Frazioni,"Ca' Bonettini, Ca' Rossa, Casona, Denzano, Festà, Ospitaletto, Rodiano, Villabianca"
Comuni confinanti,"Castelvetro di Modena, Guiglia, Maranello, Pavullo nel Frignano, Savignano sul Panaro, Serramazzoni, Vignola"
Altre informazioni,Altre informazioni
Cod. postale,41054
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036020
Cod. catastale,E905
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 373 GG[3]"
Nome abitanti,maranesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Marano sul Panaro,Marano sul Panaro
Marano sul Panaro – MappaPosizione del comune di Marano sul Panaro all'interno della provincia di Modena,Marano sul Panaro – MappaPosizione del comune di Marano sul Panaro all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
