Fiorano Modenese comune,Fiorano Modenese comune.1
,
Fiorano Modenese – Veduta,Fiorano Modenese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Marco Biagini (PD) dal 9-6-2024
Territorio,Territorio
Coordinate,44°32′12″N 10°49′22″E
Altitudine,115 m s.l.m.
Superficie,"26,23 km²"
Abitanti,16 606[1] (30-11-2025)
Densità,"633,09 ab./km²"
Frazioni,"Nirano, Spezzano, Ubersetto"
Comuni confinanti,"Formigine, Maranello, Sassuolo, Serramazzoni"
Altre informazioni,Altre informazioni
Cod. postale,41042
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036013
Cod. catastale,D607
Targa,MO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 400 GG[3]"
Nome abitanti,fioranesi
Patrono,san Giovanni Battista
Giorno festivo,"24 giugno, 8 settembre"
Cartografia,Cartografia
Fiorano Modenese,Fiorano Modenese
Fiorano Modenese – MappaPosizione del comune di Fiorano Modenese all'interno della provincia di Modena,Fiorano Modenese – MappaPosizione del comune di Fiorano Modenese all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
