Prignano sulla Secchia comune,Prignano sulla Secchia comune.1
,
Prignano sulla Secchia – VedutaPiazza Roma,Prignano sulla Secchia – VedutaPiazza Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Mauro Fantini (lista civica Futuro per Prignano) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°26′13″N 10°41′27″E
Altitudine,557 m s.l.m.
Superficie,"79,67 km²"
Abitanti,3 891[1] (30-11-2025)
Densità,"48,84 ab./km²"
Frazioni,"Castelvecchio, Moncerrato, Montebaranzone, Morano, Pescarola, Pigneto, Saltino, Sassomorello"
Comuni confinanti,"Baiso (RE), Castellarano (RE), Palagano, Polinago, Sassuolo, Serramazzoni, Toano (RE)"
Altre informazioni,Altre informazioni
Cod. postale,41048
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036033
Cod. catastale,H061
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 975 GG[3]"
Nome abitanti,prignanesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Prignano sulla Secchia,Prignano sulla Secchia
Prignano sulla Secchia – MappaPosizione del comune di Prignano sulla Secchia all'interno della provincia di Modena,Prignano sulla Secchia – MappaPosizione del comune di Prignano sulla Secchia all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
