Provincia di Modena provincia,Provincia di Modena provincia.1
Modena,Modena
,
"Provincia di Modena – VedutaLa Ghirlandina, torre campanaria del Duomo di Modena.","Provincia di Modena – VedutaLa Ghirlandina, torre campanaria del Duomo di Modena."
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Amministrazione,Amministrazione
Capoluogo,Modena
Presidente,Fabio Braglia (PD) dal 29-1-2023
Data di istituzione,1859
Territorio,Territorio
Coordinate del capoluogo,44°38′41″N 10°55′32″E
Altitudine,34 m s.l.m.
Superficie,2 688 km²
Abitanti,711 000[1] (31-10-2025)
Densità,"264,51 ab./km²"
Comuni,47 comuni
Province confinanti,"Reggio Emilia, Lucca, Ferrara, Mantova, Bologna, Pistoia"
Altre informazioni,Altre informazioni
Cod. postale,41121-41126 Modena 41010-41059 Provincia
Prefisso,"059, 0535, 0536"
Fuso orario,UTC+1
ISO 3166-2,IT-MO
Codice ISTAT,036
Targa,MO
Cartografia,Cartografia
Provincia di Modena – Localizzazione,Provincia di Modena – Localizzazione
Provincia di Modena – Mappa,Provincia di Modena – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
