Formigine comune,Formigine comune.1
,
Formigine – VedutaIl castello,Formigine – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Elisa Parenti (PD) dall'11-6-2024
Territorio,Territorio
Coordinate,44°34′26″N 10°50′52″E
Altitudine,82 m s.l.m.
Superficie,"46,74 km²"
Abitanti,34 498[1] (30-11-2025)
Densità,"738,08 ab./km²"
Frazioni,"Casinalbo, Colombaro, Colombarone, Corlo, Magreta, Ponte Fossa, Tabina"
Comuni confinanti,"Casalgrande (RE), Rubiera (RE), Castelnuovo Rangone, Castelvetro di Modena, Fiorano Modenese, Maranello, Modena, Sassuolo"
Altre informazioni,Altre informazioni
Cod. postale,41043
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036015
Cod. catastale,D711
Targa,MO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 286 GG[3]"
Nome abitanti,formiginesi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Formigine,Formigine
Formigine – MappaPosizione del comune di Formigine all'interno della provincia di Modena,Formigine – MappaPosizione del comune di Formigine all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
