Follo comune,Follo comune.1
,
Follo – VedutaPanorama di Follo Alto (località Castello),Follo – VedutaPanorama di Follo Alto (località Castello)
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Capoluogo,Piano di Follo
Sindaco,Rita Mazzi (lista civica di centro-destra Cambiamo Follo insieme) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate del capoluogo,44°09′37.51″N 9°51′53.59″E
Altitudine,30 m s.l.m.
Superficie,"23,27 km²"
Abitanti,6 230[1] (30-11-2025)
Densità,"267,73 ab./km²"
Frazioni,"Bastremoli, Carnea, Follo Alto, Piana Battolla, Piano di Follo (sede comunale), Sorbolo, Tivegna, Val Durasca, Via Romana"
Comuni confinanti,"Beverino, Bolano, Calice al Cornoviglio, La Spezia, Podenzana (MS), Riccò del Golfo di Spezia, Vezzano Ligure"
Altre informazioni,Altre informazioni
Cod. postale,19020
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011013
Cod. catastale,D655
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 433 GG[3]"
Nome abitanti,follesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Piano di Follo,Piano di Follo
Follo – MappaPosizione del comune di Follo nella provincia della Spezia,Follo – MappaPosizione del comune di Follo nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
