Varese Ligure comune,Varese Ligure comune.1
,
Varese Ligure – VedutaScorcio di piazza Vittorio Emanuele,Varese Ligure – VedutaScorcio di piazza Vittorio Emanuele
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Mauro Rattone (lista civica Per Varese Ligure e frazioni) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°22′41.26″N 9°35′44.97″E
Altitudine,353 m s.l.m.
Superficie,"137,59 km²"
Abitanti,1 726[1] (30-11-2025)
Densità,"12,54 ab./km²"
Frazioni,"Buto, Caranza, Cassego, Cavizzano, Cesena, Codivara, Comuneglia, Costola, Montale, Porciorasco, Salino, San Pietro Vara, Scurtabò, Teviggio, Taglieto, Valletti"
Comuni confinanti,"Albareto (PR), Borzonasca (GE), Carro, Maissana, Ne (GE), Sesta Godano, Tornolo (PR)"
Altre informazioni,Altre informazioni
Cod. postale,19028
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011029
Cod. catastale,L681
Targa,SP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 820 GG[3]"
Nome abitanti,varesini
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Varese Ligure,Varese Ligure
Varese Ligure – MappaPosizione del comune di Varese Ligure nella provincia della Spezia,Varese Ligure – MappaPosizione del comune di Varese Ligure nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
