Borghetto di Vara comune,Borghetto di Vara comune.1
,
Borghetto di Vara – VedutaPanorama di Borghetto dalla frazione di Ripalta,Borghetto di Vara – VedutaPanorama di Borghetto dalla frazione di Ripalta
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Stefano Coduri (lista civica Insieme per il cambiamento) dal 4-10-2021
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°13′25.52″N 9°43′17.06″E
Altitudine,104 m s.l.m.
Superficie,"27,34 km²"
Abitanti,928[1] (30-11-2025)
Densità,"33,94 ab./km²"
Frazioni,"Boccapignone, Cassana, L'Ago, Pogliasca, Ripalta, Termine di Roverano"
Comuni confinanti,"Beverino, Brugnato, Carrodano, Levanto, Pignone, Rocchetta di Vara, Sesta Godano"
Altre informazioni,Altre informazioni
Cod. postale,19020
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011006
Cod. catastale,A992
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 619 GG[3]"
Nome abitanti,borghettini
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Borghetto di Vara,Borghetto di Vara
Borghetto di Vara – MappaPosizione del comune di Borghetto di Vara nella provincia della Spezia,Borghetto di Vara – MappaPosizione del comune di Borghetto di Vara nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
