Sesta Godano comune,Sesta Godano comune.1
,
Sesta Godano – VedutaPanorama di Sesta Godano,Sesta Godano – VedutaPanorama di Sesta Godano
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Marco Traversone (PSI) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°17′37.44″N 9°40′31.54″E
Altitudine,242 m s.l.m.
Superficie,"67,78 km²"
Abitanti,1 258[1] (30-11-2025)
Densità,"18,56 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Albareto (PR), Borghetto di Vara, Brugnato, Carro, Carrodano, Varese Ligure, Zeri (MS), Zignago"
Altre informazioni,Altre informazioni
Cod. postale,19020
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011028
Cod. catastale,E070
Targa,SP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 761 GG[3]"
Nome abitanti,godani
Patrono,"san Pietro, Madonna Assunta"
Giorno festivo,"29 giugno, 15 agosto"
Cartografia,Cartografia
Sesta Godano,Sesta Godano
Sesta Godano – MappaPosizione del comune di Sesta Godano nella provincia della Spezia,Sesta Godano – MappaPosizione del comune di Sesta Godano nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
