Arcola comune,Arcola comune.1
,
Arcola – VedutaPanorama dalla frazione di Baccano,Arcola – VedutaPanorama dalla frazione di Baccano
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Monica Paganini (lista civica di centro-sinistra Uniti per Arcola) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°06′52.39″N 9°54′21.11″E
Altitudine,70 m s.l.m.
Superficie,"16,54 km²"
Abitanti,10 200[1] (30-11-2025)
Densità,"616,69 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"La Spezia, Lerici, Sarzana, Vezzano Ligure"
Altre informazioni,Altre informazioni
Cod. postale,19021
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011002
Cod. catastale,A373
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 604 GG[3]"
Nome abitanti,arcolani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Arcola,Arcola
Arcola – MappaPosizione del comune di Arcola nella provincia della Spezia,Arcola – MappaPosizione del comune di Arcola nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
