Bonassola comune,Bonassola comune.1
,
Bonassola – VedutaPanorama di Bonassola,Bonassola – VedutaPanorama di Bonassola
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Giorgio Bernardin (lista civica di centro-sinistra Costituzione) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861 (come comune del Regno d'Italia (1861-1946)
Territorio,Territorio
Coordinate,44°11′00.37″N 9°35′02.73″E
Altitudine,6 m s.l.m.
Superficie,"9,19 km²"
Abitanti,763[1] (30-11-2025)
Densità,"83,03 ab./km²"
Frazioni,"Costella, Montaretto, Poggio, Reggimonti, San Giorgio, Scernio, Serra"
Comuni confinanti,"Framura, Levanto"
Altre informazioni,Altre informazioni
Cod. postale,19011
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011005
Cod. catastale,A961
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 509 GG[3]"
Nome abitanti,bonassolesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Bonassola,Bonassola
Bonassola – MappaPosizione del comune di Bonassola nella provincia della Spezia,Bonassola – MappaPosizione del comune di Bonassola nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
