Vezzano Ligure comune,Vezzano Ligure comune.1
,
Vezzano Ligure – VedutaPanorama di Vezzano Inferiore e Superiore,Vezzano Ligure – VedutaPanorama di Vezzano Inferiore e Superiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Massimo Bertoni (Italia Viva) dal 27-5-2019
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°08′28.27″N 9°53′05.72″E
Altitudine,271 m s.l.m.
Superficie,"18,37 km²"
Abitanti,7 208[1] (30-11-2025)
Densità,"392,38 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Arcola, Bolano, Follo, La Spezia, Santo Stefano di Magra, Sarzana"
Altre informazioni,Altre informazioni
Cod. postale,19020
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011031
Cod. catastale,L819
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 758 GG[3]"
Nome abitanti,vezzanesi
Patrono,Madonna del Molinello
Giorno festivo,3 giugno
Cartografia,Cartografia
Vezzano Ligure,Vezzano Ligure
Vezzano Ligure – MappaPosizione del comune di Vezzano Ligure nella provincia della Spezia,Vezzano Ligure – MappaPosizione del comune di Vezzano Ligure nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
