Rocchetta di Vara comune,Rocchetta di Vara comune.1
,
Rocchetta di Vara – VedutaPanorama di Rocchetta di Vara,Rocchetta di Vara – VedutaPanorama di Rocchetta di Vara
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Roberto Canata (lista civica di centro-destra Rocchetta futuro) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°15′03.69″N 9°45′25.92″E
Altitudine,220 m s.l.m.
Superficie,"32,66 km²"
Abitanti,663[1] (30-11-2025)
Densità,"20,3 ab./km²"
Frazioni,"Beverone, Garbugliaga, Cuccaro, Rocchetta (capoluogo), Stadomelli, Suvero, Veppo"
Comuni confinanti,"Beverino, Borghetto di Vara, Brugnato, Calice al Cornoviglio, Mulazzo (MS), Zeri (MS), Zignago"
Altre informazioni,Altre informazioni
Cod. postale,19020
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011025
Cod. catastale,H461
Targa,SP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 934 GG[3]"
Nome abitanti,rocchettesi
Patrono,santa Giustina
Giorno festivo,l'ultima domenica di settembre
Cartografia,Cartografia
Rocchetta di Vara,Rocchetta di Vara
Rocchetta di Vara – MappaPosizione del comune di Rocchetta di Vara nella provincia della Spezia,Rocchetta di Vara – MappaPosizione del comune di Rocchetta di Vara nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
