Calice al Cornoviglio comune,Calice al Cornoviglio comune.1
,
Calice al Cornoviglio – VedutaPanorama del borgo e dell'omonimo castello,Calice al Cornoviglio – VedutaPanorama del borgo e dell'omonimo castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Federica Pecunia (lista civica di centro-sinistra Vivere Calice) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°14′35″N 9°50′11″E
Altitudine,405 m s.l.m.
Superficie,"33,75 km²"
Abitanti,1 023[1] (30-11-2025)
Densità,"30,31 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Beverino, Follo, Mulazzo (MS), Podenzana (MS), Rocchetta di Vara, Tresana (MS)"
Altre informazioni,Altre informazioni
Cod. postale,19020
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011008
Cod. catastale,B410
Targa,SP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 886 GG[3]"
Nome abitanti,calicesi
Patrono,Nostra Signora di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Calice al Cornoviglio,Calice al Cornoviglio
Calice al Cornoviglio – MappaPosizione del comune di Calice al Cornoviglio nella provincia della Spezia,Calice al Cornoviglio – MappaPosizione del comune di Calice al Cornoviglio nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
