Provincia della Spezia provincia,Provincia della Spezia provincia.1
,
"Provincia della Spezia – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale.","Provincia della Spezia – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Amministrazione,Amministrazione
Capoluogo,La Spezia
Presidente,Pierluigi Peracchini (indipendente di centro-destra) dal 28-7-2019
Data di istituzione,1923
Territorio,Territorio
Coordinate del capoluogo,44°06′28.95″N 9°49′43.94″E
Superficie,"881,35 km²"
Abitanti,214 599[1] (31-10-2025)
Densità,"243,49 ab./km²"
Comuni,32 comuni
Province confinanti,"Parma, Genova, Massa-Carrara"
Altre informazioni,Altre informazioni
Cod. postale,"19100, 19010-19038"
Prefisso,0187
Fuso orario,UTC+1
ISO 3166-2,IT-SP
Codice ISTAT,011
Targa,SP
Motto,CIVIUM ROMANORUM COLONIA
Cartografia,Cartografia
Provincia della Spezia – Localizzazione,Provincia della Spezia – Localizzazione
Provincia della Spezia – MappaPosizione della provincia della Spezia all'interno della Liguria.,Provincia della Spezia – MappaPosizione della provincia della Spezia all'interno della Liguria.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
