Deiva Marina comune,Deiva Marina comune.1
,
Deiva Marina – VedutaPanorama del centro storico con la chiesa parrocchiale di Sant'Antonio Abate,Deiva Marina – VedutaPanorama del centro storico con la chiesa parrocchiale di Sant'Antonio Abate
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Ivan Valeriani (lista civica di centro-destra RiparTiAmo) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°13′07.35″N 9°31′14.49″E
Altitudine,15 m s.l.m.
Superficie,"14,09 km²"
Abitanti,1 278[1] (30-11-2025)
Densità,"90,7 ab./km²"
Frazioni,"Mezzema, Piazza"
Comuni confinanti,"Carro, Carrodano, Castiglione Chiavarese (GE), Framura, Moneglia (GE)"
Altre informazioni,Altre informazioni
Cod. postale,19013
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011012
Cod. catastale,D265
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 428 GG[3]"
Nome abitanti,deivesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Deiva Marina,Deiva Marina
Deiva Marina – MappaPosizione del comune di Deiva Marina nella provincia della Spezia,Deiva Marina – MappaPosizione del comune di Deiva Marina nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
