Castelnuovo Magra comune,Castelnuovo Magra comune.1
,
Castelnuovo Magra – VedutaIl borgo visto dalla frazione di Nicola (Luni),Castelnuovo Magra – VedutaIl borgo visto dalla frazione di Nicola (Luni)
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Katia Cecchinelli (lista civica di centro-sinistra Uniti per Castelnuovo) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°05′57.72″N 10°01′04.03″E
Altitudine,181 m s.l.m.
Superficie,"15,02 km²"
Abitanti,8 216[1] (30-11-2025)
Densità,547 ab./km²
Frazioni,"Colombiera, Molicciara, Palvotrisia, Vallecchia, Canale, Marciano, Mulino del Piano, Caprignano e Centro Storico"
Comuni confinanti,"Fosdinovo (MS), Luni, Sarzana"
Altre informazioni,Altre informazioni
Cod. postale,19033
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011011
Cod. catastale,C240
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 755 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Fedele
Giorno festivo,7 aprile
Cartografia,Cartografia
Castelnuovo Magra,Castelnuovo Magra
Castelnuovo Magra – MappaPosizione del comune di Castelnuovo Magra nella provincia della Spezia,Castelnuovo Magra – MappaPosizione del comune di Castelnuovo Magra nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
