Riomaggiore comune,Riomaggiore comune.1
,
Riomaggiore – VedutaPanorama di Riomaggiore,Riomaggiore – VedutaPanorama di Riomaggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Fabrizia Pecunia (lista civica di centro-sinistra Cittadini in comune) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°05′57.43″N 9°44′14.82″E
Altitudine,35 m s.l.m.
Superficie,"10,27 km²"
Abitanti,1 264[1] (30-11-2025)
Densità,"123,08 ab./km²"
Frazioni,"Groppo, Manarola, Volastra[2]"
Comuni confinanti,"La Spezia, Riccò del Golfo di Spezia, Vernazza"
Altre informazioni,Altre informazioni
Cod. postale,19017
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011024
Cod. catastale,H304
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 437 GG[4]"
Nome abitanti,riomaggioresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Riomaggiore,Riomaggiore
Riomaggiore – MappaPosizione del comune di Riomaggiore nella provincia della Spezia,Riomaggiore – MappaPosizione del comune di Riomaggiore nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
