Luni comune,Luni comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Luni – VedutaPanorama di Ortonovo, frazione di Luni","Luni – VedutaPanorama di Ortonovo, frazione di Luni"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Diego Musetti (lista civica di centro-sinistra Uniti con Musetti sindaco) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°05′05.43″N 10°02′31.3″E
Altitudine,76 m s.l.m.
Superficie,"13,86 km²"
Abitanti,8 095[1] (30-11-2025)
Densità,"584,05 ab./km²"
Frazioni,"Annunziata, Caffaggiola, Casano (sede comunale), Dogana, Isola, Luni Scavi, Luni Mare, Luni Stazione, Nicola, Ortonovo, Serravalle"
Comuni confinanti,"Carrara (MS), Castelnuovo Magra, Fosdinovo (MS), Sarzana"
Altre informazioni,Altre informazioni
Cod. postale,19034
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011020
Cod. catastale,G143
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,lunensi
Patrono,Madonna del Mirteto
Giorno festivo,8 settembre
Cartografia,Cartografia
Luni,Luni
Luni – MappaPosizione del comune di Luni nella provincia della Spezia,Luni – MappaPosizione del comune di Luni nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
